city,bucket,doc,n_articles,sent_mean,cue_sum
Shubra,2024-04-01,"الدفع بـ8 سيارات إطفاء للسيطرة على حريق في السجل المدني بشبرا الخيمة حادث مروري مروع .. التصريح بدفن جثة شاب دهسته سيارة فارهة في شبرا إحالة عاطلين للجنايات في سرقة حقائب السيدات وحيازة فرد خرطوش بالقاهرة بعد حادث مقتل طفل شبرا الخيمة .. ما هو « الدارك ويب » وكيف تحمي أطفالك من مخاطره ؟ هجوم جديد لـ « الدعم السريع » يخلف قتلى ومصابين بقرى الجزيرة – صحيفة التغيير السودانية , اخبار السودان وزير التعليم يزور مستشفى الناس للأطفال بشبرا الخيمة النائب أحمد عاشور : أرض سيناء تشهد أعمال تطوير ونهضة لم يسبق لها مثيل معلومات لا تعرفها عن الدارك ويب الذي وقع ضحيته طفل شبرا .. يشكل 5 % من إجمالي شبكة الإنترنت .. ومرتع للأنشطة الإجرامية أخطرها الاتجار بالبشر ودعارة الأطفال عيد العمال .. القرارات المصيرية حجازى : الدولة المصرية تولى اهتماما كبيرا بمجالى الصحة والتعليم وقادرة على رعاية أبنائه تزايد حوادث القتل بين الأزواج منذ بداية العام الجاري .. مقتل ربة منزل على يد زوجها بالغربية أحدثها ما هو الدارك ويب الدافع وراء قتل طفل بطريقة بشعة في شبرا ؟ وزير التعليم يزور مستشفى الناس ويشيد بالخدمات الطبية المقدمة للمرضى رنية السعودية .. تاريخ عريق تؤكده القصائد | رابط الحصول على جداول اختبارات الدبلومات الفنية للعام الدراسي الحالي ٢٠٢٤ الدارك ويب .. قتل وتجارة أعضاء وجنس ومخدرات ونصب ... الطفل أحمد أخر ضحاياه بشبرا الخيمة يوسف السباعي أديب مصري شارك في مباحثات السلام مع إسرائيل ولاية جديدة ومسيرة جديدة من الأمل - اليوم السابع opinion : a young life in gaza , shattered بعد فوزه بجائزة الجمهور في مهرجان مالمو .. أمير رمسيس : فيلم أنف وثلاث عيون لم يتعرض لظلم بسبب رحلة 404 ما هو الدارك ويب السبب وراء جريمة طفل شبرا ؟ – cedar news حجازي : الدولة تولي اهتماما كبيرا بمجالي الصحة والتعليم القدر وأصحاب النار - إسلام أون لاين بتكلفة إجمالية 2 تريليون جنيه .. إنجازات وزارة النقل في عهد الرئيس السيسي خلال 10 سنوات",24,-0.0198625,0
Shuja'iyya,2024-02-01,"israel defense force troops filmed cheering gaza destruction – report idf troops filmed cheering gaza destruction - nyt i̇srailin gece boyu gazzeye düzenlediği saldırılarda 60 tan fazla kişi öldürüldü i̇srailin gece boyu gazzeye düzenlediği saldırılarda 60 tan fazla kişi öldürüldü gece boyunca sürdü : onlarca şehit ! gaza : 103 palestinians killed , 142 injured by israeli bombardment last 24 hours - the muslim news idf troops filmed cheering gaza destruction nyt israel turns safe corridor to gaza south into trap to kill hungry , forcibly displaced palestinians [ en / ar ] - occupied palestinian territory i̇srailin gece boyu gazzeye düzenlediği saldırılarda 60 tan fazla kişi öldürüldü » چه کسی پدر صدایم می‌زند ؟« - bbc news فارسی israel indiscriminate strikes kill over 70 palestinian civilians in central gaza evidence of unrwa aid to hamas on and after october 7th free palestine . stop cop city .",13,-0.16425384615384614,0
Shuja'iyya,2024-03-01,"i̇srail saldırılarından sağ kurtulan gazzeli kadın hayata tutunmaya çalışıyor gazzeliler , i̇srail saldırılarının yok ettiği camiler yerine okulda itikafa girdi gazzeye bir saldırı daha : şehitlerimiz var ! i̇srailin gazze şeridine yönelik saldırganlığının 175 inci gününde şehit ve yaralılar – suriye arap haber ajansı – sana sabaha kadar bombaladılar ! gazzede can kaybı arttı press tvs news headlines i̇srail , gece boyu gazzede filistinli katletti i̇srail , gece boyu gazzeye düzenlediği saldırılarla çok sayıda filistinliyi öldürdü the ongoing genocidal violence against the palestinian people and their cultural heritage in gaza : mesa muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war a somber ramadan ramadan in socal hearing aids los padrinos report muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war i̇srailin 163 gündür saldırılarını sürdürdüğü gazzede can kaybı 31 bin 645 e yükseldi muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war muslims prepare for a more somber ramadan due to the israel - hamas war",49,-0.5857836734693878,0
Shuja'iyya,2024-04-01,"i̇srail ordusu gazzede halk pazarını vurdu i̇srailden gazzede halk pazarında katliam : 8 filistinli hayatını kaybetti gazzede hayatını kaybedenlerin sayısı 33 bin 634 e yükseldi i̇srail , bayram günü bir evi vurdu : 29 filistinli öldü 9 palestinians martyred , others injured by occupation aircraft bombing in gaza strip i̇şgal ordusu gazzede halk pazarını vurdu ! gazzeliler itikâfa engel tanımadı | ramazan haberleri i̇srail bir evi vurdu : 29 filistinli hayatını kaybetti . 13 kişinin rümş cesedine ulaşıldı i̇şgalciler gazzeye saldırmaya devam ediyor : çok sayıda şehit ve yaralı var ! i̇srail ordusu gazzede bir evi bombaladı , 29 filistinli hayatını kaybetti i̇srail gece boyu gazzeye saldırdı : çok sayıda filistinli öldü i̇srail ordusu gazzede bir evi bombaladı ! çok sayıda kişi yaşamını yitirdi i̇şgal ordusu gazzede bir evi bombaladı : 29 şehit gazzede bayram soykırımı ! i̇srail bir evi vurdu , 29 can kaybı i̇srail ordusu gazzede bir evi bombaladı : 29 filistinli ld i̇srail ordusu gazzede bir evi bombaladı , 29 filistinli hayatını kaybetti i̇şgal ordusu gazzede bir evi bombaladı , 29 filistinli hayatını kaybetti i̇srail ordusu gazzede bir evi bombaladı , 29 filistinli hayatını kaybetti i̇srail , gazzenin merkezinde yeni bir saldırı başlattı gazzede 34 bin 262 kişi hayatını kaybetti does zomi frankcom killing change australia stance on israel ? | the canberra times armed with a camera in gaza : who is yaser murtaja ? i̇srail , gazzeye yeni bir saldırı başlattı gazzede 34 bin 262 kişi hayatını kaybetti a million dollar middle east peace plan بالاترین : چرا همه از عملیات نظامی در رفح واهمه دارند ؟ wounded idf soldiers reveal stories of heroism from the front lines during israel - hamas war",27,-0.020188888888888885,0
Shuja'iyya,2024-05-01,"gaza : 47 palestinians killed , 61 injured by israeli bombings last 24 hrs - the muslim news",1,-0.802,0
Silwan,2024-02-01,"اعتقال 3 مقدسيين بزعم دعم حماس بشكل نهائي .. السويد تقرر طرد سلوان موميكا من أراضيها الخارجية الفلسطينية : حكومة الاحتلال والمستوطنون يسعون لتفجير الأوضاع بالضفة الغربية السويد تقرر ترحيل سلوان موميكا من أراضيها بشكل نهائي الاحتلال يستولي على غرفة لعائلة الرجبي في حي بطن الهوى بالقدس - شبكة فلسطين للأنباء shin bet , jerusalem police intercept hamas terrorist plot - crime in israel משתלטים על מזרח ירושלים - מאמר מערכת israel ponders restricting access to one of islam holiest sites for ramadan الاحتلال يقتل فلسطينياً في نابلس ويهدم منزلين في أريحا والقدس palestinian authority funding heavily cut amid unrwa scandal , hamas war operation al - aqsa flood day 123 : new testimonies emerge of israel torturing detained palestinians in gaza – mondoweiss operation al - aqsa flood day 135 : israel war on gaza hospitals continues – mondoweiss israeli forces kill palestinian youth , arrest several across west bank موقع بكرا - بزي مرسلين لطلبات ، قاموا بتقييد الضحية وزوجته أمام إبنهما الرضيع ، وسرقوا السيارة الفاخرة وممتلكات أخرى ، israel ponders restricting access to one of islam holiest sites for ramadan evict unrwa from jerusalem evict unrwa from jerusalem israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan israel ponders restricting access to one of islam holiest sites for ramadan evict unrwa from jerusalem cisjordanie occupée : nette augmentation du recours à la force meurtrière illégale par israël contre les palestinien · ne · s cisjordanie occupée : nette augmentation du recours à la force meurtrière illégale par israël contre les palestinien · ne · s with all eyes on gaza , israel steps up demolitions of palestinian homes operation al - aqsa flood day 131 : israeli snipers force dozens to evacuate nasser hospital in khan younis , israel steps up bombing in lebanon – mondoweiss القدس : اعتقالات بعد سرقة سيارة فاخرة وتقييد اصحابها بالحبال ودهس شرطي israel demolishes the home of a prominent palestinian activist in jerusalem – ya libnan day 119 : jerusalem during al - aqsa flood operation day 119 : jerusalem during al - aqsa flood operation تقرير : مساعٍ حثيثة إسرائيلية لشن حرب مسعورة وغير مسبوقة تمزق الضفة الغربية - شبكة فلسطين للأنباء latest articles تقرير : مستوطنون أطلقوا نقطة البداية لمخطط استعماري قريبا في قطاع غزة spike in israeli lethal force against palestinians in occupied west bank in occupied palestine – 06 february 2024 تقرير : 5 شهداء و22 عملية هدم وتجريف بالقدس خلال الشهر الماضي صحيفة المنار - المسارات المتوقعة لقضية فلسطين في 2024 .. department press briefing – february 14 , 2024 - united states department of state mil - osi ngos : israel / opt : israel has unleashed wave of unlawful attacks on palestinians in west bank – new research تقرير : انقلاب استيطاني في القدس وتصعيد خطير لإرهاب المستوطنين بالضفة - شبكة فلسطين للأنباء shocking spike in use of unlawful lethal force by israeli forces against palestinians in the occupied west bank",56,-0.21354464285714284,0
Silwan,2024-03-01,"this week in jerusalem : back in action عشرات المستوطنين يقتحمون باحات الأقصى ... والاحتلال يواصل تشديد قيوده على المصلّين الوكالة الوطنية للإعلام - رابطة خريجي الحقوق استنكرت التعرض للنائب خلف : لتحريك دعوى الحق العام والملاحقات بحق المعتدين israel and hamas war : live updatesðÿ ´march 21 , 2024 | i24news رابطة خريجي الحقوق استنكرت التعرض للنائب خلف : لتحريك دعوى الحق العام والملاحقات بحق المعتدين لقاء سيدة الجبل و المجلس الوطني لرفع الإحتلال الإيراني عن لبنان لهوكستين : بلدنا محتل من قبل جماعة مسلحة تأتمر بأوامر الحرس الثوري الايراني – cedar news u . s . delegation of christians returns from gaza with urgent appeal operation iron swords in occupied palestine – 13 march 2024 ملخص التقرير الاستراتيجي الفلسطيني 2022 - 2023 february 2024 in the city of jerusalem february 2024 in the city of jerusalem in occupied palestine – 06 march 2024 صحيفة المنار - طوفان الأقصى أحدثت هزة عميقة في منظومة الحكم الإسرائيلية تقرير : عقوبات رمزية ، لا توقف استيطانا ولا توفر حماية من سياسة التهجير والتطهير العرقي - شبكة فلسطين للأنباء",15,-0.026473333333333335,0
Silwan,2024-04-01,"جو 24 : تطورات اليوم الـ204 من طوفان الأقصى والعدوان الإسرائيلي على غزة ما هي حقيقة وفاة حارق القرآن العراقي سلوان موميكا في النرويج ؟ شهيد في طوباس واشتباكات خلال اقتحامات بالضفة shin bet foils isis terror attack at yerushalayim teddy stadium and a police station – the yeshiva world جو 24 : تطورات اليوم الـ189 من طوفان الأقصى والعدوان الإسرائيلي على غزة apa itu batalion netzah yehuda israel yang akan disanksi as ? אחרי הלילה שטרף את הקלפים : צריך להתחיל את המלחמה מחדש jerusalem relatively quiet for now but a storm is close israelis recount worry , fear after night of iran missile interceptions لقاء سيدة الجبل لدوائر القرار الدولية والاقليمية : نتمسك باحترام الدستور ووثيقة الوفاق الوطني وتطبيق القرارات 1559 ، 1680 و1701 من دون أي مواربة – cedar news israelis recount worry , fear after night of iran missile interceptions day 201 : jerusalem during al - aqsa flood operation netzah yehuda : the ultra - orthodox israeli army unit set to be blacklisted by the us خبراء : فائض الإيرادات الماليَّة يجب توظيفه بمشاريع التنمية المستدامة march 2024 in the city of jerusalem تقرير : إرهاب المستوطنين ينطلق من البؤر الاستيطانية الرعوية ويسجل مستويات قياسية - شبكة فلسطين للأنباء ممثل الراعي ترأس صلاة الجناز لراحة نفس فؤاد السعد الرقيم البطريركي : عرفناه مناضلا مع البطريرك صفير للاستقلال وانسحاب الجيشين السوري والاسرائيلي the deir yassin massacre reminds us every zionist accusation is a confession",18,-0.1367611111111111,1
Smouha,2024-02-01,حسام حسن يقود هجوم سموحة أمام إنبي بالدوري المصري تشكيل سموحة لمواجهة فيوتشر في الدوري الممتاز أوفا يقود هجوم إنبى أمام سموحة فى الدوري تشكيل سموحة الرسمي أمام مودرن فيوتشر بدوري نايل نقطة لكل فريق .. سموحة ومودرن فيوتشر حبايب في دوري نايل إنبي يسقط في فخ التعادل السلبي مع سموحة التعادل الإيجابي يحسم مباراة فيوتشر وسموحة في الدوري الشوط الأول .. مودرن فيوتشر يتعادل مع سموحة وحالتين طرد الشوط الأول .. سيراميكا يتقدم على سموحة بهدفين ويقترب من نصف نهائي كأس الرابطة الدوري المصري ، فيوتشر يتعادل مع سموحة في مباراة الكروت الحمراء تعادل مثير بين البنك الأهلي وسموحة في الدوري المصري الدوري المصري ، البنك الأهلي يتقدم على سموحة بهدف في الشوط الأول كأس الرابطة ، سيراميكا يتقدم على سموحة بثنائية في الشوط الأول بثنائية نظيفة .. سيراميكا كليوباترا يضع قدمه بالمربع الذهبي لكأس الرابطة كأس الرابطة ، المصري يتقدم على بيراميدز بهدف في الشوط الأول إنبي يتعادل سلبيًا أمام سموحة ويحافظ على تواجده في صدارة الدوري التعادل السلبي يحسم الشوط الأول من مباراة إنبي وسموحة التشكيل الرسمي لمباراة البنك الأهلي وإف سي زد في دوري نايل دورى نايل .. مباراة قاع ساخنة بين الداخلية وفاركو باستاد السلام كأس رابطة الأندية ، أحمد ياسر ريان يقود سيراميكا كليوباترا أمام الاتحاد السكندري تعادل سلبي بين زد وإنبي في الشوط الأول من الدوري المصري التعادل الإيجابي يحسم مواجهة مودرن فيوتشر وسموحة في الدوري إنبي يعزز صدارته للدوري بهدف قاتل في شباك زد بيراميدز يسعى اللحاق بركب زد وإنبي على حساب الاتحاد بالدوري المصري عاجل .. موديست ينفجر ويسجل هدفين في فوز الأهلي على سموحة وديًا بيراميدز يعلن رسميا رحيل باتشيكو عن تدريب الفريق قندوسي وريان يقودان تشكيل سيراميكا أمام الإسماعيلي في الدوري الممتاز أخبار الرياضة اليوم ، كهربا يسدد الغرامة .. الزمالك يفوز على الداخلية .. وفيوتشر يتعادل مع سموحة دوري نايل .. الصدام يتجدد بين الجونة والمصري في برج العرب رابطة الأندية : أخطرنا الأندية باللجوء لضربات الترجيح مباشرة قبل مباريات الأدوار النهائية الدوري المصري ، بلدية المحلة يخطف فوزًا غاليًا من فيوتشر 0 / 1 الإسماعيلي يعلن التعاقد مع إريك تراوري وهشام محمد ibrahim salah takes over zamalek youth team for second spell استمر 864 ساعة .. حكايات من ميركاتو الشتاء فى الدورى المصري كولر يستقرعلى موديست لقيادة هجوم الأهلى أمام شباب بلوزداد الجزائرى الإسماعيلي يفوز على سيراميكا بـ 10 لاعبين 2 - 1 في الدوري الممتاز تشكيل طلائع الجيش لمواجهة الاتحاد السكندري بـ دوري نايل الدوري المصري ، تعادل بيراميدز وزد سلبيا في الشوط الأول الإسماعيليّة الأزهرية تفوز بالمركز الرابع في مسابقة الكرة الطائرة للمرحلة الإعدادية الدوري الممتاز ، تشكيل الإسماعيلي لمواجهة الجونة الدوري المصري ، بيراميدز يخطف فوزا صعبا من الاتحاد السكندري ( صور ) تشكيل الأهلي أمام بلوزداد .. شوبير حارسا وموديست يقود الهجوم يورتشيتش يعلن تشكيل بيراميدز لمواجهة زد بالدوري المصري ، رمضان صبحي بديلا تعرف على التشكيل المتوقع للأهلي أمام بلدية المحلة بالدوري الممتاز الأهلى أمام بلدية المحلة ، الأحمر يستهدف الكلين شيت الثالثة بالدوري الدوري الممتاز ، علي ماهر يعلن تشكيل المصري أمام بلدية المحلة بالدوري بتعادله مع بيراميدز .. زد يهدي إنبي صدارة دوري نايل مواعيد مباريات اليوم الخميس بالدوريات العالمية والمصري الممتاز والقنوات الناقلة مفاجأة في موقف الأهلي من تجديد عقد محمد عبد المنعم الدوري المصري ، أوفا وكابو يقودان هجوم إنبي أمام المقاولون بعد الفوز علي الاتحاد بالدوري ، بيراميدز يلتقي زد وديا استعدادا لدوري أبطال أفريقيا الدوري المصري ، تعادل سلبي بين المقاولون والمصري في الشوط الأول تفاؤل فى الاتحاد السكندري قبل لقاء سيراميكا فى كأس الرابطة غدًا كولر يجتمع مع وسام أبو علي قبل مواجهة بلدية المحلة الدوري المصري ، مفاجأة جديدة في سبب غياب كهربا عن مباراة البلدية .. ووسام أبوعلى يقود التشكيل المتوقع للأهلي « شباب الاتحاد السكندري » يفوز على الفريق الأول استعدادًا للبنك الأهلي .. ومواليد 2005 يتغلب على القناة ثنائي الزمالك يجدد أزمة هروب اللاعبين بالكرة المصرية .. ناشئو الأبيض يكررون سيناريو ميدو وشيكابالا .. الحضري وعبد القادر وإبراهيم سعيد وكوليبالي أبطال مسلسل الهروب الكبير الأهلي ، مفاجأة جديدة في موقف كولر تجاه كهربا ( فيديو ) بعد رحيل باتشيكو ، تعرف على موعد إعلان المدير الفني الجديد لبيراميدز الدوري المصري ، الأهلى يختتم تدريباته استعدادًا لمباراة بلدية المحلة ( فيديو ) محاضرة كولر وفقرات بدنية للاعبين في مران الأهلي استعدادا لمباراة البلدية الظهور الأول لـ كرونوسلاف في تدريبات بيراميدز ( فيديو ) طلائع الجيش يتأهل إلى نهائي كأس الرابطة بالفوز على المصري بركلات الترجيح كولر يدرس اصطحاب محمود متولي في رحلة السعودية بعد إهانته .. موقف محمد صلاح من تعيين حسام حسن مديرًا فنيًا لمنتخب مصر النيل – قناة مصر الإخبارية | المصري يستضيف الطلائع وسيراميكا يصطدم بالاتحاد السكندري فى نصف نهائي كأس الرابطة حسام وإبراهيم : « هنشيل صلاح فوق دماغنا » ولكن بشرط .. والكلام عن أزمة علام « فشنك » الأهلي يضم الحارس محمود الزنفلي لمدة 6 أشهر على سبيل الإعارة مصطفى شوبير يهنئ الزنفلي بالانضمام إلى الأهلي كولر يجتمع مع طبيب الأهلي لبحث ملف الإصابات كولر يهنئ بيرسي تاو بالتأهل إلى نصف نهائي أمم إفريقيا أخبار الأهلي ، إصابة لاعب الفريق وتأشيرة رضا سليم « الأبرز » « صافرة افتتاح وبصمة ختام ».. التحكيم المصري يغادر كوت ديفوار مرفوع الرأس « ملف خاص » تعرف على غيابات الأهلي عن رحلة الجزائر الأهلي وشباب بلوزداد .. بث مباشر مشاهدة مباراة الأهلي وشباب بلوزداد في دوري أبطال إفريقيا,75,0.0,0
Smouha,2024-03-01,الدوري المصري ، سموحة يتقدم على سيراميكا كليوباترا بهدف في الشوط الأول سموحة يفوز على سيراميكا كليوباترا بهدف حسام حسن في الدوري المصري ( صور ) تعرف على تشكيل سموحة أمام سيراميكا كليوباترا في الدوري حسام حسن يقود تشكيل سموحة لمواجهة المصري في الدوري تشكيل المصرى لمواجهة سموحة فى دورى نايل : فخرالدين يقود الهجوم سموحة يستضيف سيراميكا كليوباترا فى مواجهة ثأرية بـ دورى نايل الدوري المصري ، إبراهيم محمد حكما لمباراة الاتحاد وفيوتشر فوز صعب لسموحة على سيراميكا كليوباترا فى « دورىnile » الدوري المصري ، زد يتعادل 2 - 2 مع المصري الدوري المصري ، شوط أول سلبى بين فاركو والبنك الأهلى حكام مباراتي الأحد في الجولة السادسة عشر من الدوري المصري مباريات الحسم .. ماذا بعد نهاية فترة التوقف الدولي ؟ الدوري المصري ، فيوتشر وزد يكتفيان بالتعادل السلبي عاجل| مفاجآت جوميز .. الدستور تكشف تشكيل الزمالك أمام الأهلى فى نهائى كأس مصر نشرة « المصري اليوم » من الإسكندرية : ماذا حدث قبل الإفطار بـ « عصمت هانم »؟.. وإحالة منجد للمفتي ترتيب الدوري المصري الممتاز قبل مباراة بيراميدز وفاركو الدوري المصري ، بيراميدز ضيفا ثقيلا على الداخلية اليوم القافلة الحمراء تستأنف رحلة الدوري .. موديست يعود لقيادة الهجوم أمام البنك الأهلي .. هذا موعد المباراة والقناة الناقلة .. وأرقام كولر مع الأهلي نجم الكرة المصرية السابق : أفشة تطور بشكل ملحوظ مع الأهلي الدوري المصري ، سيراميكا يفوز على المقاولون بثنائية الدوري المصري ، فيستون ماييلي يقود هجوم ييراميدز في مواجهة فاركو بسبب ياسر إبراهيم ، الأهلي يقترب من ضم مدافع روستوف الروسي رمضان صبحي وعلي جبر أبرز غيابات بيراميدز أمام فاركو تشكيل بلدية المحلة لمواجهة الجونة في الدوري موعد مباراة بيراميدز وفاركو بالدوري والقناة الناقلة مباشر الآن .. مباراة الزمالك ضد الجونة ( 0 - 0 ) الدوري المصري الأهلي يحسم تجديد عقد بيرسي تاو الأهلي أمام البنك ، مشوار الأحمر بالدوري الموسم الحالي كولر يدرس منح لاعبي الأهلي راحة أسبوع عقب مباراة البنك كولر يطير إلى سويسرا خلال فترة التوقف الدولي كولر يجتمع مع رضا سليم في معسكر مباراة البنك الأهلي موعد إعلان جاهزية وسام أبو علي للعودة إلي حسابات كولر الدوري المصري ، كولر يعلن تشكيل الأهلي لمباراة البنك لاعبو الأهلي والجهاز الفني يهنئون الجماهير بحلول شهر رمضان ( فيديو ) الأهلي يضع الرتوش الأخيرة على تجديد عقد نجم الفريق محمد سلامة يدير مباراة الزمالك والجونة والبنا للأهلي والبنك بالدوري أخبار الأهلي ، مناقشة تجديد عقد معلول وتعديلات في تشكيل مباراة البنك,37,0.0,0
